test-merror-mean,test-merror-std,train-merror-mean,train-merror-std,nb,bst_nb,bst_merror
0.1669788,0.00958761547831,0.10563,0.0015539975547,0,4124,0.1239286
0.1538758,0.00957037279107,0.095311,0.00318816843972,1,4124,0.1239286
0.1489502,0.0082007539507,0.091789,0.00316837036976,2,4124,0.1239286
0.1444188,0.00684937796884,0.0905576,0.00272946695162,3,4124,0.1239286
0.1443202,0.00752396704937,0.0895232,0.00361843830402,4,4124,0.1239286
0.1422516,0.00761918600902,0.089351,0.00264619160304,5,4124,0.1239286
0.1428426,0.00808240252895,0.089523,0.00247834646488,6,4124,0.1239286
0.143237,0.00936627296207,0.0883904,0.00202479051756,7,4124,0.1239286
0.142547,0.00965659196611,0.0873068,0.00238761993625,8,4124,0.1239286
0.1409708,0.00840769060801,0.0862724,0.00167159703278,9,4124,0.1239286
0.1419562,0.00820013852078,0.0860012,0.00220489713139,10,4124,0.1239286
0.1414638,0.00768672558116,0.085804,0.00232774801042,11,4124,0.1239286
0.139592,0.00852708013332,0.085558,0.00173458490712,12,4124,0.1239286
0.1401832,0.00860180161129,0.0855334,0.00164603032779,13,4124,0.1239286
0.1407742,0.00779023345992,0.085213,0.00184765029159,14,4124,0.1239286
0.1396902,0.00818105957441,0.0852134,0.00176417568286,15,4124,0.1239286
0.1398874,0.00705148811528,0.0855088,0.00202188678219,16,4124,0.1239286
0.1395918,0.00685200587857,0.0852376,0.00157325555457,17,4124,0.1239286
0.1394934,0.00664382515122,0.0847452,0.00229353895977,18,4124,0.1239286
0.1398874,0.00665733741371,0.0846222,0.00181302458891,19,4124,0.1239286
0.139986,0.00652148167214,0.0843022,0.00212842490119,20,4124,0.1239286
0.1394934,0.0063010306649,0.0841788,0.0017770100056,21,4124,0.1239286
0.139395,0.00669140732582,0.083637,0.0018416460029,22,4124,0.1239286
0.139395,0.00706044256403,0.0833662,0.00195134931778,23,4124,0.1239286
0.140183,0.00697329815797,0.0837356,0.00175545260261,24,4124,0.1239286
0.139789,0.00744432280332,0.0833414,0.00168600481613,25,4124,0.1239286
0.139592,0.00747256593146,0.0830216,0.00169034595276,26,4124,0.1239286
0.1400846,0.0071509733771,0.0830462,0.00177310173425,27,4124,0.1239286
0.1394934,0.00681796883536,0.0829228,0.00187468839011,28,4124,0.1239286
0.1401832,0.00685594333115,0.0828738,0.00201456708997,29,4124,0.1239286
0.139789,0.00673868411487,0.0824796,0.00153909877526,30,4124,0.1239286
0.1394934,0.00593624186165,0.0821348,0.00160934960776,31,4124,0.1239286
0.139986,0.00640556448723,0.0818394,0.00171085576248,32,4124,0.1239286
0.1397888,0.00638979522051,0.0812236,0.00185127486884,33,4124,0.1239286
0.1394932,0.00601351419388,0.08147,0.00170226766403,34,4124,0.1239286
0.1397888,0.00582456052934,0.0809522,0.0015313325439,35,4124,0.1239286
0.1398872,0.00602776746068,0.0806078,0.00145032981077,36,4124,0.1239286
0.1398874,0.0069260502626,0.0806326,0.00157077160657,37,4124,0.1239286
0.139198,0.00678270479971,0.0805094,0.00165463344581,38,4124,0.1239286
0.1386066,0.00628394610416,0.0801154,0.00178432133877,39,4124,0.1239286
0.1387052,0.00619851915864,0.0798936,0.00165344762239,40,4124,0.1239286
0.138705,0.00621183274083,0.0799922,0.00149997271975,41,4124,0.1239286
0.1389022,0.00647679400321,0.07945,0.0012477560659,42,4124,0.1239286
0.1396904,0.0069166770808,0.0792288,0.00130527658372,43,4124,0.1239286
0.139789,0.0065548901135,0.0794504,0.0014265172414,44,4124,0.1239286
0.139296,0.00671489663361,0.0792288,0.00116829215524,45,4124,0.1239286
0.1395918,0.00683546856916,0.0790316,0.00117584447951,46,4124,0.1239286
0.1399858,0.00657545488617,0.0788592,0.00143225631784,47,4124,0.1239286
0.1395918,0.00630368420529,0.0787854,0.00124811932122,48,4124,0.1239286
0.1393948,0.00700620874368,0.0784158,0.00131438554466,49,4124,0.1239286
0.139099,0.00630361588297,0.0784406,0.00121574711186,50,4124,0.1239286
0.1390992,0.0067643340367,0.078342,0.00127492384086,51,4124,0.1239286
0.139395,0.00642812818789,0.0781448,0.00149887723313,52,4124,0.1239286
0.1397888,0.0061950707954,0.0777264,0.00150064234247,53,4124,0.1239286
0.1395916,0.00614897242147,0.0777508,0.00134333977831,54,4124,0.1239286
0.1390006,0.00580471772268,0.077677,0.00134055704839,55,4124,0.1239286
0.1392962,0.00609890017626,0.0775046,0.0013359457474,56,4124,0.1239286
0.1396902,0.00636400884349,0.07716,0.00162694302297,57,4124,0.1239286
0.1394934,0.0060582570959,0.077037,0.0015203770585,58,4124,0.1239286
0.1389022,0.00604932354565,0.0767906,0.00141969033243,59,4124,0.1239286
