feature,fscore
alarm_id,1345
p55,5372
p23,6080
p52,6199
p53,6332
p29,6441
p54,6502
p28,6507
p24,6720
p61,6812
p56,6918
p11,6978
p21,7073
p30,7075
p32,7083
p1,7172
p43,7204
p31,7268
p57,7283
p41,7293
p42,7305
p25,7335
p44,7398
p49,7413
p48,7524
p20,7528
p63,7632
p27,7663
p40,7691
p22,7692
p17,7801
p33,7832
p19,7885
p59,7933
p10,7950
p60,7987
p0,8073
p9,8094
p47,8095
p18,8144
p50,8145
p26,8155
p51,8157
p39,8232
p12,8364
p34,8486
p16,8576
p46,8832
p8,8838
p58,8881
p2,9075
p62,9099
p45,9228
p15,9242
cycle_num,9420
p13,9571
p14,9819
p7,9869
p38,10166
p6,10855
p35,11702
p37,11722
p3,12357
p5,12495
p4,13673
p36,14906
