feature,score
f607,1
f4811,1
f596,1
f4374,1
f766,1
f5490,1
f2541,1
f3085,1
f2206,1
f2113,1
f3472,1
f3568,1
f4960,1
f4962,1
f4963,1
f4967,1
f617,1
f4347,1
f5026,1
f693,1
f5485,1
f1833,1
f4176,1
f332,1
f4193,1
f4199,1
f5408,1
f323,1
f341,1
f3567,1
f2746,1
f2216,1
f5518,1
f1488,1
f4990,1
f138,1
f4364,1
f4165,1
f239,1
f415,1
f238,1
f3644,1
f2940,1
f2663,1
f4560,1
f591,1
f2009,1
f2486,1
f4014,1
f444,1
f4984,1
f4985,1
f3089,1
f4261,1
f1857,1
f5237,1
f3541,1
f3740,1
f3743,1
f1922,1
f1924,1
f4530,1
f3986,1
f3984,1
f3982,1
f3636,1
f3638,1
f5592,1
f5591,1
f3299,1
f2907,1
f2900,1
f2908,1
f2909,1
f2529,1
f2918,1
f2162,1
f3476,1
f2011,1
f883,1
f1944,1
f1667,1
f3543,1
f1162,1
f1592,1
f1593,1
f1590,1
f152,1
f153,1
f1118,1
f3532,1
f3468,1
f3469,1
f5616,1
f3466,1
f5612,1
f3530,1
f2811,1
f3461,1
f3997,1
f3198,1
f3370,1
f3373,1
f520,1
f3284,1
f782,1
f4011,1
f4543,1
f3539,1
f2469,1
f4549,1
f2921,1
f3384,1
f5074,1
f5077,1
f2435,1
f1517,1
f147,1
f148,1
f3548,1
f4882,1
f4084,1
f3618,1
f4067,1
f2561,1
f4616,1
f4468,1
f2636,1
f3388,1
f2637,1
f2632,1
f2555,1
f3547,1
f3546,1
f2818,1
f2365,1
f2638,1
f3456,1
f5521,1
f1242,1
f3451,1
f2554,1
f1605,1
f2363,1
f2932,1
f1241,1
f1147,1
f2640,1
f173,1
f775,1
f1135,1
f1131,1
f1421,1
f518,1
f1146,1
f511,1
f3459,1
f517,1
f5325,1
f3630,1
f5413,1
f5410,1
f350,1
f423,1
f4097,1
f5250,1
f4076,1
f2550,1
f4078,1
f4079,1
f3113,1
f4470,1
f3807,1
f4274,1
f2826,1
f2736,1
f2735,1
f2732,1
f2367,1
f4874,1
f161,1
f4705,1
f5130,1
f3022,1
f4866,1
f695,1
f437,1
f434,1
f344,1
f348,1
f5242,1
f5243,1
f5240,1
f3014,1
f3656,1
f234,1
f231,1
f1684,1
f3120,1
f243,1
f2839,1
f2547,1
f2540,1
f2542,1
f4284,1
f2548,1
f2721,1
f2723,1
f2728,1
f2729,1
f694,1
f5133,1
f327,1
f2086,1
f3919,1
f1323,1
f4943,1
f1043,1
f1047,1
f5315,1
f3004,1
f3005,1
f507,1
f1408,1
f1686,1
f506,1
f1398,1
f537,1
f3554,1
f4875,1
f4870,1
f1570,1
f5506,1
f2631,1
f3480,1
f240,1
f5152,1
f2992,1
f2445,1
f2999,1
f228,1
f1133,1
f1138,1
f2285,1
f1038,1
f4351,1
f1153,1
f685,1
f1236,1
f5328,1
f2369,1
f3293,1
f432,1
f1767,1
f512,1
f3116,1
f250,1
f3729,1
f3722,1
f3107,1
f2450,1
f1746,1
f1300,1
f2829,1
f2290,1
f3725,1
f353,1
f2070,1
f854,1
f2277,1
f2278,1
f2184,1
f4268,1
f4099,1
f1597,1
f1770,1
f5487,1
f951,1
f3115,1
f58,1
f5079,1
f5696,1
f4612,1
f4613,1
f4611,1
f1071,1
f151,1
f2456,1
f5327,1
f5326,1
f5320,1
f5323,1
f5322,1
f3118,1
f4380,1
f3021,1
f3204,1
f4646,1
f2641,1
f3823,1
f2457,1
f3620,1
f3390,1
f3096,1
f3104,1
f5685,1
f5683,1
f2562,1
f5062,1
f4270,1
f3804,1
f1232,1
f1237,1
f338,1
f1839,1
f3900,1
f2447,1
f3988,1
f2091,1
f3305,1
f5432,1
f5259,1
f1753,1
f865,1
f863,1
f3635,1
f4529,1
f5051,1
f3625,1
f2570,1
f4638,1
f5231,1
f3911,1
f3912,1
f3915,1
f1222,1
f3190,1
f3029,1
f4548,1
f521,1
f2313,1
f5597,1
f2929,1
f4008,1
f877,1
f872,1
f1320,1
f67,1
f675,1
f4807,1
f5045,1
f5040,1
f5049,1
f1034,1
f5227,1
f3100,1
f2825,1
f5310,1
f3897,1
f3891,1
f3893,1
f3922,1
f3099,1
f5687,1
f3288,1
f2372,1
f4972,1
f2123,1
f5160,1
f1332,1
f2446,1
f72,1
f73,1
f603,2
f605,2
f5035,2
f5039,2
f939,2
f2926,2
f5141,2
f4784,2
f4785,2
f5493,2
f5492,2
f5585,2
f330,2
f3888,2
f3101,2
f2201,2
f2758,2
f48,2
f611,2
f4175,2
f4190,2
f856,2
f326,2
f321,2
f4519,2
f2432,2
f2211,2
f3913,2
f5718,2
f4959,2
f1683,2
f136,2
f4185,2
f1917,2
f4449,2
f2910,2
f4349,2
f2351,2
f2358,2
f4980,2
f1678,2
f4016,2
f4441,2
f945,2
f1852,2
f3981,2
f5596,2
f5594,2
f967,2
f2902,2
f3187,2
f3186,2
f3364,2
